arrival,departure,session_id,station_id,requested_energy,estimated_departure,battery_capacity,battery_current_charge,battery_init_charge,battery_max_power,battery_current_charging_power,energy_delivered
62,158,543404941790,AB-1,30.0,158,60,30.00000112697748,30.0,16.6,1.690466240221053e-06,1.126977493480702e-06
64,160,278369385093,AB-2,30.0,160,60,30.00000081502958,30.0,16.6,1.630059176238644e-06,8.150295881193217e-07
64,160,424517590749,AB-3,30.0,160,60,30.00000081502958,30.0,16.6,1.6300591761511598e-06,8.150295880755798e-07
66,162,844776132319,AB-4,30.0,162,60,30.000000509862076,30.0,16.6,1.5295862493395062e-06,5.098620831131687e-07
66,162,4718856190,AB-5,30.0,162,60,30.000000509862076,30.0,16.6,1.5295862493395062e-06,5.098620831131687e-07
67,163,121569120783,AB-6,30.0,163,60,30.00000036861686,30.0,16.6,1.474467443684756e-06,3.68616860921189e-07
67,163,670749084726,AB-7,30.0,163,60,30.00000036861686,30.0,16.6,1.4744674435972717e-06,3.6861686089931793e-07
68,164,825852755105,AB-8,30.0,164,60,30.00000023658098,30.0,16.6,1.4194858875402474e-06,2.365809812567079e-07
68,164,136706589684,AB-9,30.0,164,60,30.00000023658098,30.0,16.6,1.4194858873215363e-06,2.3658098122025605e-07
69,165,575093329427,AB-10,30.0,165,60,30.000000113838922,30.0,16.6,1.366067081259637e-06,1.1383892343830308e-07
69,165,891321954312,AB-11,30.0,165,60,30.000000113838922,30.0,16.6,1.366067081215895e-06,1.1383892343465791e-07
69,165,209202122117,AB-12,30.0,165,60,30.000000113838922,30.0,16.6,1.366067081259637e-06,1.1383892343830308e-07
69,165,185328219550,AB-13,30.0,165,60,30.000000113838922,30.0,16.6,1.366067081215895e-06,1.1383892343465791e-07
